user,channel,message,timestamp,time,donation
user_43,channel_4,"@RiffTraxSupporter, healthygamer_gg has been streaming for  1 hour 56 mins",2022-07-03 17:56:04,17:56:04,0
user_91,channel_5,mom popped off LUL,2022-07-03 18:21:19,18:21:19,0
user_198,channel_5,but what do YOU want,2022-07-03 18:32:06,18:32:06,0
user_38,channel_4,You're the best!,2022-07-03 18:44:25,18:44:25,25
user_60,channel_2,discord monkaW,2022-07-03 18:47:31,18:47:31,0
user_416,channel_1,Pog,2022-07-03 19:10:26,19:10:26,0
user_404,channel_2,NODDERS Advice,2022-07-03 19:40:14,19:40:14,0
user_382,channel_1,))),2022-07-03 19:57:32,19:57:32,0
user_27,channel_2,2?!?!?!?!?,2022-07-03 20:29:07,20:29:07,0
user_416,channel_5,@flekx01 Giga Chad KEKW,2022-07-03 21:08:12,21:08:12,0
user_638,channel_2,"Its 11 pm, im going to sleep",2022-07-03 21:43:06,21:43:06,0
user_204,channel_4,Sadge,2022-07-03 21:47:28,21:47:28,0
user_437,channel_4,"yes, isn't that normal?",2022-07-03 21:59:21,21:59:21,0
user_47,channel_4,final revelation meemsVV,2022-07-03 22:54:23,22:54:23,0
user_146,channel_2,@StaticShock7 I'd guess pitta,2022-07-03 23:02:16,23:02:16,0
user_480,channel_4,OMEGALUL,2022-07-03 23:30:03,23:30:03,0
user_51,channel_5,monkaS,2022-07-03 23:49:20,23:49:20,0
user_795,channel_1,pogusaved,2022-07-04 00:28:41,00:28:41,0
user_357,channel_2,what's the question? where are you headed?,2022-07-04 00:56:02,00:56:02,0
user_26,channel_1,im over it.,2022-07-04 01:21:12,01:21:12,0
user_1386,channel_1,,2022-07-04 01:23:35,01:23:35,25
user_748,channel_2,WOAH,2022-07-04 01:24:11,01:24:11,0
user_1126,channel_3,WHAT AN ENDING OMG,2022-07-04 01:45:39,01:45:39,0
user_363,channel_4,monkaW,2022-07-04 02:35:23,02:35:23,0
user_563,channel_2,KEKW 󠀀,2022-07-04 03:14:35,03:14:35,0
user_815,channel_4,budda based,2022-07-04 03:46:26,03:46:26,0
user_906,channel_5,4Head,2022-07-04 04:01:14,04:01:14,0
user_203,channel_5,KEKW,2022-07-04 04:09:15,04:09:15,0
user_693,channel_4,Pog,2022-07-04 04:10:09,04:10:09,0
user_1365,channel_5,OMEGALUL,2022-07-04 04:25:07,04:25:07,0
user_652,channel_2,4Head,2022-07-04 04:39:23,04:39:23,0
user_39,channel_3,PowerUpL POGGERS PowerUpR,2022-07-04 05:19:01,05:19:01,0
user_26,channel_3,gambling,2022-07-04 05:55:14,05:55:14,0
user_234,channel_1,LUL,2022-07-04 06:10:36,06:10:36,0
user_1188,channel_2,LUL,2022-07-04 06:46:22,06:46:22,0
user_539,channel_1,friend ship is too external based? performance oriented?,2022-07-04 07:06:05,07:06:05,0
user_204,channel_1,Sadge,2022-07-04 07:55:44,07:55:44,0
user_664,channel_3,Oh ffs,2022-07-04 08:50:51,08:50:51,0
user_1079,channel_1,why her lol,2022-07-04 08:50:59,08:50:59,0
user_341,channel_5,@Domwindu,2022-07-04 09:07:40,09:07:40,0
user_164,channel_2,FeelsBadMan,2022-07-04 09:31:02,09:31:02,0
user_13,channel_4,KEKW KEKW,2022-07-04 09:32:17,09:32:17,0
user_620,channel_4,he doesnt know PepeLaugh,2022-07-04 09:44:15,09:44:15,0
user_185,channel_5,PogChamp,2022-07-04 10:34:51,10:34:51,0
user_109,channel_1,<3,2022-07-04 11:08:41,11:08:41,0
user_416,channel_5,monkaW HoldUp,2022-07-04 11:53:10,11:53:10,0
user_20,channel_3,sounds like your dad was struggling and used video games to cope and hard to blame for that,2022-07-04 12:24:30,12:24:30,0
user_45,channel_2,D,2022-07-04 12:46:12,12:46:12,0
user_478,channel_1,gg,2022-07-04 13:25:18,13:25:18,0
user_773,channel_3,TRUE,2022-07-04 14:18:50,14:18:50,0
user_454,channel_5,TRUE,2022-07-04 14:37:18,14:37:18,0
user_434,channel_2,5Head,2022-07-04 14:58:12,14:58:12,0
user_365,channel_1,I'm honestly just super lazy lately,2022-07-04 15:06:27,15:06:27,0
user_7,channel_2,Y E P,2022-07-04 15:20:05,15:20:05,0
user_425,channel_2,FeelsStrongMan,2022-07-04 19:37:58,19:37:58,0
user_198,channel_1,,2022-07-04 20:05:29,20:05:29,0
user_178,channel_1,You're the best!,2022-07-04 21:19:33,21:19:33,500
user_621,channel_3,Sadge,2022-07-04 21:51:05,21:51:05,0
user_1340,channel_1,Love your content!,2022-07-04 22:44:18,22:44:18,5
user_64,channel_4,Frens widepeepoHappy,2022-07-04 22:47:03,22:47:03,0
user_416,channel_1,FeelsStrongMan,2022-07-04 23:16:42,23:16:42,0
user_431,channel_1,Just do 1 push up 4Head,2022-07-04 23:33:10,23:33:10,0
user_146,channel_2,LUL,2022-07-04 23:48:33,23:48:33,0
user_606,channel_4,PepeLaugh Clap,2022-07-05 01:22:53,01:22:53,0
user_88,channel_2,KEKW,2022-07-05 01:35:17,01:35:17,0
user_21,channel_4,WAY TO GO!,2022-07-05 01:51:21,01:51:21,0
user_96,channel_2,CHAD THUNDERCOCK EZ Clap,2022-07-05 02:59:32,02:59:32,0
user_848,channel_4,Pog,2022-07-05 03:58:54,03:58:54,0
user_459,channel_4,Love your content!,2022-07-05 04:01:23,04:01:23,500
user_239,channel_1,5Head ??,2022-07-05 04:14:02,04:14:02,0
user_109,channel_3,bUrself wtf,2022-07-05 04:14:17,04:14:17,0
user_1387,channel_4,/,2022-07-05 04:19:28,04:19:28,0
user_694,channel_2,naniii? whyyyy,2022-07-05 05:22:07,05:22:07,0
user_354,channel_2,tis really tempting to keep playing dark souls 2 lads,2022-07-05 05:23:13,05:23:13,0
user_129,channel_5,ive been there man!,2022-07-05 05:23:46,05:23:46,0
user_203,channel_4,BigBrother,2022-07-05 05:47:06,05:47:06,0
user_1098,channel_3,monkaW,2022-07-05 08:00:06,08:00:06,0
user_354,channel_3,MonkaW lets go,2022-07-05 08:28:46,08:28:46,0
user_565,channel_3,is he a streamer?????,2022-07-05 08:42:23,08:42:23,0
user_585,channel_1,LET'S GOOOOOOOO Pog,2022-07-05 08:59:07,08:59:07,0
user_317,channel_1,Bruh why would you continue to instantly get kids with every new guy PepeHands,2022-07-05 09:01:40,09:01:40,0
user_273,channel_1,<3,2022-07-05 11:05:24,11:05:24,0
user_206,channel_1,chattars,2022-07-05 11:23:17,11:23:17,0
user_28,channel_1,wtf FeelsStrongMan stop that,2022-07-05 11:57:48,11:57:48,0
user_66,channel_2,LULW,2022-07-05 12:41:49,12:41:49,0
user_542,channel_1,@killermonk_ow chad,2022-07-05 12:43:28,12:43:28,0
user_156,channel_2,again,2022-07-05 13:29:48,13:29:48,0
user_452,channel_4,OMEGALUL,2022-07-05 13:41:45,13:41:45,0
user_686,channel_1,STRONG AF,2022-07-05 14:33:17,14:33:17,0
user_1054,channel_2,Jebaited,2022-07-05 15:51:04,15:51:04,0
user_408,channel_3,OMEGALUL,2022-07-05 15:57:11,15:57:11,0
user_520,channel_3,forever,2022-07-05 16:38:34,16:38:34,0
user_906,channel_4,we got it,2022-07-05 19:12:07,19:12:07,0
user_6,channel_3,Sadge king,2022-07-05 19:14:46,19:14:46,0
user_1112,channel_3,Jebaited,2022-07-05 19:15:08,19:15:08,0
user_410,channel_4,i don't know if my wife would agree to that lol,2022-07-05 19:34:45,19:34:45,0
user_575,channel_1,Sadge doubts,2022-07-05 20:56:57,20:56:57,0
user_199,channel_2,#nopunchespulledtoday,2022-07-05 20:58:10,20:58:10,0
user_387,channel_4,AMOURANTH,2022-07-05 21:03:44,21:03:44,0
user_740,channel_1,Love your content!,2022-07-05 21:39:26,21:39:26,10
user_578,channel_4,ResidentSleeper,2022-07-05 21:58:39,21:58:39,0
user_1151,channel_4,do it for us dom,2022-07-05 22:09:13,22:09:13,0
user_69,channel_1,Pog,2022-07-05 23:08:07,23:08:07,0
user_51,channel_5,DR k face PepeLaugh,2022-07-05 23:34:58,23:34:58,0
user_130,channel_4,eu,2022-07-06 01:09:58,01:09:58,0
user_3,channel_5,4Head,2022-07-06 01:11:08,01:11:08,0
user_779,channel_2,his age ???,2022-07-06 01:23:37,01:23:37,0
user_45,channel_3,he 100% didn't knew/didn't check,2022-07-06 01:43:00,01:43:00,0
user_422,channel_2,LUL,2022-07-06 01:48:10,01:48:10,0
user_11,channel_3,This guy is fucking great,2022-07-06 01:48:23,01:48:23,0
user_204,channel_4,PogChamp,2022-07-06 01:55:25,01:55:25,0
user_403,channel_5,im bout to play swotor actually PogChamp,2022-07-06 02:21:28,02:21:28,0
user_135,channel_1,,2022-07-06 02:23:28,02:23:28,1
user_434,channel_1,KEKW,2022-07-06 02:29:23,02:29:23,0
user_1284,channel_2,,2022-07-06 02:53:48,02:53:48,5
user_54,channel_3,SJEESH,2022-07-06 02:59:05,02:59:05,0
user_158,channel_2,WOW. How do you distinguish between what you want to be and what you are??,2022-07-06 03:11:42,03:11:42,0
user_3,channel_4,SUS POGGERS POGGERS,2022-07-06 03:26:20,03:26:20,0
user_14,channel_2,no love Sadge,2022-07-06 03:53:15,03:53:15,0
user_844,channel_4,I remember that,2022-07-06 04:10:01,04:10:01,0
user_769,channel_4,NODDERS,2022-07-06 04:38:34,04:38:34,0
user_27,channel_3,KEKW,2022-07-06 05:03:32,05:03:32,0
user_570,channel_1,"Yus, watch more anime!",2022-07-06 05:03:42,05:03:42,0
user_78,channel_2,BOOMER,2022-07-06 05:08:42,05:08:42,0
user_344,channel_2,),2022-07-06 07:36:47,07:36:47,0
user_1050,channel_3,Hi,2022-07-06 07:39:17,07:39:17,5
user_850,channel_1,@HealthyGamer_GG what if i have mental blocks towards my task,2022-07-06 08:07:24,08:07:24,0
user_307,channel_5,i can relate to that,2022-07-06 08:27:11,08:27:11,0
user_629,channel_2,I never believed in love growing up. I am still scared I dont,2022-07-06 09:16:06,09:16:06,0
user_513,channel_2,YEP AND what are you loathing,2022-07-06 09:23:35,09:23:35,0
user_1177,channel_1,,2022-07-06 09:40:57,09:40:57,5
user_575,channel_1,FeelsStrongMan,2022-07-06 10:33:55,10:33:55,0
user_148,channel_5,KEKW,2022-07-06 10:36:53,10:36:53,0
user_21,channel_3,KEKW,2022-07-06 10:42:20,10:42:20,0
user_1386,channel_3,What's the Discord?,2022-07-06 10:45:52,10:45:52,0
user_767,channel_4,You're the best!,2022-07-06 10:47:41,10:47:41,500
user_993,channel_1,link,2022-07-06 10:49:56,10:49:56,0
user_868,channel_4,Pog,2022-07-06 11:40:17,11:40:17,0
user_14,channel_4,monkaW,2022-07-06 11:46:57,11:46:57,0
user_987,channel_5,!guide,2022-07-06 11:57:09,11:57:09,0
user_415,channel_5,Sadge,2022-07-06 13:14:30,13:14:30,0
user_14,channel_2,"its not you, its me 4Head",2022-07-06 13:25:25,13:25:25,0
user_856,channel_4,Love your content!,2022-07-06 13:40:15,13:40:15,10
user_863,channel_5,nononononononoonon,2022-07-06 13:54:46,13:54:46,0
user_83,channel_4,Sadge,2022-07-06 15:26:33,15:26:33,0
user_382,channel_1,LUL,2022-07-06 17:19:44,17:19:44,0
user_616,channel_3,@icyryno you are already there,2022-07-06 18:47:36,18:47:36,0
user_988,channel_3,You're the best!,2022-07-06 19:35:31,19:35:31,1
user_139,channel_4,KEKW KEKW,2022-07-06 19:39:04,19:39:04,0
user_344,channel_2,AngelThump,2022-07-06 20:57:14,20:57:14,0
user_662,channel_3,,2022-07-06 21:44:08,21:44:08,0
user_38,channel_5,Clip it and ship it,2022-07-06 22:07:26,22:07:26,0
user_442,channel_2,TRUE KEKW,2022-07-06 22:14:40,22:14:40,0
user_713,channel_1,),2022-07-06 23:01:07,23:01:07,0
user_1226,channel_4,LETS GOOOOO,2022-07-06 23:15:49,23:15:49,0
user_1163,channel_5,BRUH,2022-07-06 23:56:26,23:56:26,0
user_927,channel_3,Howl's moving castle shirt would've been poggers <3,2022-07-07 00:05:32,00:05:32,0
user_286,channel_4,drchadthundercock,2022-07-07 00:08:53,00:08:53,0
user_35,channel_2,whoa twist,2022-07-07 00:47:06,00:47:06,0
user_1128,channel_4,nooo,2022-07-07 00:59:24,00:59:24,0
user_289,channel_3,Those are wise words <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3,2022-07-07 01:05:00,01:05:00,0
user_370,channel_3,Nard Dog,2022-07-07 01:24:04,01:24:04,0
user_13,channel_5,Dr K. is now enlightened about the post nut,2022-07-07 01:41:02,01:41:02,0
user_19,channel_5,imo it's worth telling your psychotherapist that you have no genetic relation to this person,2022-07-07 01:49:51,01:49:51,0
user_91,channel_3,awesome stream peepoLove,2022-07-07 02:01:02,02:01:02,0
user_3,channel_2,Pog there is hope,2022-07-07 02:13:23,02:13:23,0
user_622,channel_2,If you say there's always tomorrow then you'll keep saying it until there is no more tomorrows. - Fearless Motivation,2022-07-07 03:04:03,03:04:03,0
user_38,channel_1,EZ,2022-07-07 03:22:44,03:22:44,0
user_652,channel_2,Sadge wtf,2022-07-07 04:12:26,04:12:26,0
user_550,channel_1,if you're not helpless then be helped,2022-07-07 04:19:08,04:19:08,0
user_175,channel_5,nmpL nmpL nmpL,2022-07-07 04:27:21,04:27:21,0
user_569,channel_2,@Oronano i doubt they would be good friends after they divorced,2022-07-07 04:36:40,04:36:40,0
user_480,channel_4,AOOOOE THE CULT,2022-07-07 04:51:31,04:51:31,0
user_30,channel_3,Pog,2022-07-07 05:19:32,05:19:32,0
user_1194,channel_4,KEKW nice,2022-07-07 05:23:40,05:23:40,0
user_21,channel_2,FeelsStrongMan,2022-07-07 06:27:25,06:27:25,0
user_1218,channel_4,LULW love this guy <3,2022-07-07 06:31:29,06:31:29,0
user_810,channel_2,Pog,2022-07-07 07:09:50,07:09:50,0
user_265,channel_1,<3,2022-07-07 07:42:57,07:42:57,0
user_1173,channel_3,LEGGOO <3 <3 <3 <3 <3 <3,2022-07-07 09:26:20,09:26:20,0
user_146,channel_1,Dr K CHAD TODAY Pog,2022-07-07 12:08:24,12:08:24,0
user_422,channel_5,The Power of Now by Eckhard Tolle,2022-07-07 12:29:24,12:29:24,0
user_22,channel_5,lol,2022-07-07 13:20:18,13:20:18,0
user_1007,channel_5,LS aka league streamer,2022-07-07 14:03:51,14:03:51,0
user_826,channel_3,@wonderdot +,2022-07-07 14:15:03,14:15:03,0
user_398,channel_5,🧠,2022-07-07 15:10:54,15:10:54,0
user_827,channel_4,4Head,2022-07-07 15:30:43,15:30:43,0
user_777,channel_4,WeirdChamp,2022-07-07 15:51:27,15:51:27,0
user_1232,channel_4,byeeeee,2022-07-07 16:05:50,16:05:50,0
user_889,channel_3,TRUE,2022-07-07 18:32:20,18:32:20,0
user_665,channel_2,Sadge,2022-07-07 19:31:51,19:31:51,0
user_54,channel_4,<3 <3 <3,2022-07-07 19:41:33,19:41:33,0
user_465,channel_1,Oh brother u just havent seen the other side,2022-07-07 20:54:47,20:54:47,0
user_26,channel_5,yeah babay -austin powers,2022-07-07 21:30:38,21:30:38,0
user_664,channel_3,PogChamp,2022-07-07 21:46:24,21:46:24,0
user_562,channel_4,welcum to me bizare,2022-07-07 22:19:10,22:19:10,0
user_1191,channel_4,let's go,2022-07-07 22:51:57,22:51:57,0
user_496,channel_3,sussy baka KEKW,2022-07-07 22:59:12,22:59:12,0
user_578,channel_2,milk gang,2022-07-07 23:08:58,23:08:58,0
user_430,channel_2,same,2022-07-07 23:30:03,23:30:03,0
user_404,channel_5,Kenjataimu,2022-07-08 00:04:10,00:04:10,0
user_656,channel_1,Pog,2022-07-08 00:10:59,00:10:59,0
user_456,channel_4,fantanoCry,2022-07-08 00:16:18,00:16:18,0
user_653,channel_1,JUSTIN BIEBS,2022-07-08 00:20:23,00:20:23,0
user_381,channel_1,NotLikeThis NotLikeThis,2022-07-08 01:06:44,01:06:44,0
user_303,channel_4,i am not getting any discord invite link after filling info on website,2022-07-08 01:52:16,01:52:16,0
user_653,channel_2,Am I a chad?,2022-07-08 02:00:59,02:00:59,0
user_368,channel_1,PepoG true,2022-07-08 02:25:10,02:25:10,0
user_1232,channel_5,XD,2022-07-08 02:38:39,02:38:39,0
user_870,channel_2,facts EZ,2022-07-08 02:40:56,02:40:56,0
user_152,channel_4,Just notice it 4Head,2022-07-08 04:03:19,04:03:19,0
user_927,channel_3,what the heckle and jeckle?,2022-07-08 05:59:57,05:59:57,0
user_14,channel_2,monkaW,2022-07-08 06:00:03,06:00:03,0
user_759,channel_2,Jebaited,2022-07-08 06:36:44,06:36:44,0
user_514,channel_1,dont look at us monkaS,2022-07-08 06:36:49,06:36:49,0
user_3,channel_5,link Pog,2022-07-08 07:01:21,07:01:21,0
user_464,channel_2,loool,2022-07-08 07:21:45,07:21:45,0
user_454,channel_4,EZ Clap,2022-07-08 07:58:28,07:58:28,0
user_174,channel_2,<3,2022-07-08 08:01:25,08:01:25,0
user_55,channel_1,4Head,2022-07-08 08:15:09,08:15:09,0
user_512,channel_4,do both,2022-07-08 09:16:27,09:16:27,0
user_450,channel_3,PepeLaugh dr k,2022-07-08 10:05:19,10:05:19,0
user_840,channel_5,purpose,2022-07-08 10:21:35,10:21:35,0
user_324,channel_1,"Doc, I find hard to focus when trying to meditate, any tip? @HealthyGamer_GG",2022-07-08 10:24:58,10:24:58,0
user_962,channel_2,EZ Clap REAL CHAD,2022-07-08 11:25:46,11:25:46,0
user_21,channel_2,MODS BAN THAT GUY,2022-07-08 13:38:00,13:38:00,0
user_105,channel_1,FeelsStrongMan,2022-07-08 14:34:34,14:34:34,0
user_565,channel_1,ASL,2022-07-08 15:24:34,15:24:34,0
user_758,channel_1,ahahaha,2022-07-08 15:50:25,15:50:25,0
user_591,channel_2,YEP sheesh,2022-07-08 17:10:11,17:10:11,0
user_398,channel_2,KEKW,2022-07-08 17:12:30,17:12:30,0
user_739,channel_4,I don't like being 5'7'',2022-07-08 17:44:52,17:44:52,0
user_6,channel_1,GivePLZ,2022-07-08 17:49:38,17:49:38,0
user_655,channel_4,i know this,2022-07-08 17:49:40,17:49:40,0
user_494,channel_3,grow it,2022-07-08 17:52:14,17:52:14,0
user_1252,channel_4,f,2022-07-08 18:02:34,18:02:34,0
user_344,channel_2,<3 YEP,2022-07-08 19:14:18,19:14:18,0
user_557,channel_2,NODDERS,2022-07-08 19:33:06,19:33:06,0
user_289,channel_3,Chad drinking milk???,2022-07-08 20:37:04,20:37:04,0
user_382,channel_2,taco POGGERS,2022-07-08 20:45:54,20:45:54,0
user_324,channel_4,CHILL,2022-07-08 23:09:31,23:09:31,0
user_1169,channel_1,LETS GOOO,2022-07-08 23:48:26,23:48:26,0
user_539,channel_4,@StaticShock7 probably pitta-vata,2022-07-09 01:02:51,01:02:51,0
user_776,channel_5,same,2022-07-09 01:03:02,01:03:02,0
user_65,channel_2,Sadge,2022-07-09 01:14:14,01:14:14,0
user_997,channel_1,Thank you Dr.,2022-07-09 03:16:45,03:16:45,0
user_950,channel_2,OMEGALUL,2022-07-09 03:30:50,03:30:50,0
user_88,channel_5,Twitch Chat anitaDyarr,2022-07-09 04:31:37,04:31:37,0
user_24,channel_4, CPS,2022-07-09 07:04:39,07:04:39,0
